row,row_name,column,type,x_coord,y_coord,radius,halo_radius,spot_intensity,raw_int,note,RT
1,A,2,,211,53,25,,0.056491784340142744,0.45224919437120553,Initial Detection,60
1,A,3,,315,53,24,,0.05214347065533534,0.44892206183759154,Initial Detection,61.014225941422595
1,A,4,,419,56,25,,0.04596394979433259,0.4468103160893416,Initial Detection,62.02845188284519
1,A,5,,524,56,25,,0.0406309295433655,0.4421957551696621,Initial Detection,63.042677824267784
1,A,6,,628,56,24,,0.038241647752850216,0.4434594855270226,Initial Detection,64.05690376569038
1,A,7,,730,58,25,,0.03893493470234799,0.44140376397854364,Initial Detection,65.07112970711297
1,A,8,,834,59,25,,0.04406953399257407,0.44464648301360743,Initial Detection,66.08535564853557
1,A,9,,939,61,25,,0.05181814935512792,0.44979038498449364,Initial Detection,67.09958158995816
1,A,10,,1042,60,25,,0.05658820139208125,0.45242294754068557,Initial Detection,68.11380753138076
1,A,11,,1147,62,25,,0.05266010816937604,0.4533947530583589,Initial Detection,69.12803347280335
1,A,12,,94,48,24,,0.039337824518845,0.4716623373776565,Initial Detection,70.14225941422595
1,A,13,,196,48,24,,0.02478901540833017,0.4646083363473954,Initial Detection,71.15648535564853
1,A,14,,299,48,25,,0.014506117411077029,0.46038124678001036,Initial Detection,72.17071129707114
1,A,15,,404,47,25,,0.008090920340406517,0.45763756301077885,Initial Detection,73.18493723849372
1,A,16,,508,48,25,,0.004271147271628634,0.45609196795668305,Initial Detection,74.19916317991631
1,A,17,,612,50,25,,0.0022762307200207502,0.45509793819640176,Initial Detection,75.2133891213389
1,A,18,,716,49,25,,0.0013054699629893758,0.45534442525078045,Initial Detection,76.2276150627615
1,A,19,,820,50,25,,0.0005479973748486951,0.4528896566354518,Initial Detection,77.2418410041841
1,A,20,,924,50,26,,0.00010871906210096796,0.454096821279484,Initial Detection,78.25606694560669
1,A,21,,1030,52,26,,0.000008572960007646776,0.45069775658010963,Initial Detection,79.27029288702929
2,B,21,,1028,172,24,,5.093214134020914e-7,0.4541413211455629,Initial Detection,80.28451882845188
2,B,20,,923,172,24,,0.000008622661345575395,0.4540295268470721,Initial Detection,81.29874476987447
2,B,19,,819,170,24,,0.00010892812298979143,0.45352097239119243,Initial Detection,82.31297071129707
2,B,18,,716,170,25,,0.0005505299492252111,0.4540574395652131,Initial Detection,83.32719665271966
2,B,17,,609,168,23,,0.0014165701403489768,0.4553466747523752,Initial Detection,84.34142259414226
2,B,16,,507,165,26,,0.0031888144424532684,0.45496890078933433,Initial Detection,85.35564853556485
2,B,15,,404,168,24,,0.007282770252960943,0.4572364887822095,Initial Detection,86.36987447698745
2,B,14,,298,168,24,,0.013533513513994242,0.4609037801817206,Initial Detection,87.38410041841004
2,B,13,,195,166,24,,0.021751199580592497,0.4631813150078366,Initial Detection,88.39832635983264
2,B,12,,93,167,24,,0.03308223000062004,0.46893981740264584,Initial Detection,89.41255230125523
2,B,11,,1145,182,24,,0.04356401067658114,0.44866997665472014,Initial Detection,90.42677824267781
2,B,10,,1041,183,25,,0.04630130227982908,0.44769322463658323,Initial Detection,91.44100418410042
2,B,9,,937,180,24,,0.04186632684664655,0.44544547835903525,Initial Detection,92.455230125523
2,B,8,,831,179,24,,0.03635384452829388,0.43966286346847305,Initial Detection,93.46945606694561
2,B,7,,731,178,22,,0.03468890603455789,0.44157432966577254,Initial Detection,94.48368200836819
2,B,6,,624,179,25,,0.03541933675972641,0.44154519097695766,Initial Detection,95.4979079497908
2,B,5,,520,177,23,,0.03643837543448804,0.44236911259349115,Initial Detection,96.51213389121338
2,B,4,,417,176,24,,0.038180532551771305,0.4419623187452736,Initial Detection,97.52635983263599
2,B,3,,312,175,24,,0.04112928934557307,0.44436699218535947,Initial Detection,98.54058577405857
2,B,2,,212,173,22,,0.04164011728496461,0.4473361585215713,Initial Detection,99.55481171548116
3,C,2,,206,291,26,,0.03772982856724421,0.44098587751838536,Initial Detection,100.56903765690376
3,C,3,,309,294,24,,0.03370312495294844,0.4412959370444658,Initial Detection,101.58326359832635
3,C,4,,417,295,23,,0.030002129709164202,0.43986492110488845,Initial Detection,102.59748953974895
3,C,5,,518,296,24,,0.025816486399618616,0.43694253553853085,Initial Detection,103.61171548117154
3,C,6,,624,297,24,,0.023399177087103887,0.43534891877377013,Initial Detection,104.62594142259414
3,C,7,,726,298,24,,0.02337039410102775,0.4370126809807211,Initial Detection,105.64016736401673
3,C,8,,831,299,24,,0.02405192549169288,0.4362893061081337,Initial Detection,106.65439330543933
3,C,9,,935,300,24,,0.02584413294533867,0.437036793476474,Initial Detection,107.66861924686192
3,C,10,,1040,302,24,,0.029409492707247707,0.43856903297931826,Initial Detection,108.68284518828452
3,C,11,,1145,305,26,,0.03175635320340731,0.4425738431930384,Initial Detection,109.6970711297071
3,C,12,,90,286,24,,0.02831587413005409,0.4687271890310066,Initial Detection,110.7112970711297
3,C,13,,194,286,25,,0.02064483721713721,0.4633653564465457,Initial Detection,111.72552301255229
3,C,14,,298,286,25,,0.013956456362411801,0.4598397834146539,Initial Detection,112.7397489539749
3,C,15,,402,287,25,,0.010871867034968799,0.45871442858441686,Initial Detection,113.75397489539748
3,C,16,,507,287,25,,0.01099050045797144,0.45884373326868105,Initial Detection,114.76820083682009
3,C,17,,611,288,25,,0.011287069470153174,0.46179753714984195,Initial Detection,115.78242677824267
3,C,18,,716,289,25,,0.009315525097628886,0.45754058449758067,Initial Detection,116.79665271966527
3,C,19,,819,290,26,,0.0068003770230838515,0.4583289171524466,Initial Detection,117.81087866108786
3,C,20,,923,290,25,,0.004073182607047166,0.45611419219929095,Initial Detection,118.82510460251046
3,C,21,,1029,291,25,,0.0016207850473084525,0.4546958814437677,Initial Detection,119.83933054393304
4,D,21,,1027,416,27,,0.0005605757518256175,0.4524151542455057,Initial Detection,120.85355648535564
4,D,20,,922,413,25,,0.0012874932199436401,0.4541705811639443,Initial Detection,121.86778242677823
4,D,19,,816,410,23,,0.004216885856200779,0.4554774729782757,Initial Detection,122.88200836820083
4,D,18,,714,412,26,,0.007596316382906338,0.45981833226415275,Initial Detection,123.89623430962342
4,D,17,,609,410,25,,0.008961342687871549,0.45758099221141324,Initial Detection,124.91046025104602
4,D,16,,505,408,24,,0.00932601132144556,0.4595688247350366,Initial Detection,125.92468619246861
4,D,15,,401,407,25,,0.009338923324850843,0.45797496742128074,Initial Detection,126.93891213389121
4,D,14,,297,408,24,,0.01017800470388151,0.4588432578173808,Initial Detection,127.9531380753138
4,D,13,,191,406,24,,0.013048398144953267,0.45950744747312017,Initial Detection,128.96736401673638
4,D,12,,90,407,24,,0.01785748332546954,0.46237683446771677,Initial Detection,129.981589958159
